id,name,nutritive_id
412,（えんどう類）　トウミョウ　芽ばえ　油いため　　,412
413,（えんどう類）　さやえんどう　若ざや　生　　,413
414,（えんどう類）　さやえんどう　若ざや　ゆで　　,414
415,（えんどう類）　スナップえんどう　若ざや　生　　,415
416,（えんどう類）　グリンピース　生　　,416
417,（えんどう類）　グリンピース　ゆで　　,417
418,（えんどう類）　グリンピース　冷凍　　,418
419,（えんどう類）　グリンピース　水煮缶詰　　,419
420,おおさかしろな　葉　生　　　,420
421,おおさかしろな　葉　ゆで　　　,421
422,おおさかしろな　塩漬　　　,422
423,おかひじき　茎葉　生　　　,423
424,おかひじき　茎葉　ゆで　　　,424
425,オクラ　果実　生　　　,425
426,オクラ　果実　ゆで　　　,426
427,かぶ　葉　生　　　,427
428,かぶ　葉　ゆで　　　,428
429,かぶ　根　皮つき　生　　　,429
430,かぶ　根　皮つき　ゆで　　　,430
431,かぶ　根　皮むき　生　　　,431
432,かぶ　根　皮むき　ゆで　　　,432
433,かぶ　漬物　塩漬　葉　,433
434,かぶ　漬物　塩漬　根　皮つき　,434
435,かぶ　漬物　塩漬　根　皮むき　,435
436,かぶ　漬物　ぬかみそ漬　葉　,436
437,かぶ　漬物　ぬかみそ漬　根　皮つき　,437
438,かぶ　漬物　ぬかみそ漬　根　皮むき　,438
439,（かぼちゃ類）　日本かぼちゃ　果実　生　　,439
440,（かぼちゃ類）　日本かぼちゃ　果実　ゆで　　,440
441,（かぼちゃ類）　西洋かぼちゃ　果実　生　　,441
442,（かぼちゃ類）　西洋かぼちゃ　果実　ゆで　　,442
443,（かぼちゃ類）　西洋かぼちゃ　果実　焼き　　,443
444,（かぼちゃ類）　西洋かぼちゃ　果実　冷凍　　,444
445,（かぼちゃ類）　そうめんかぼちゃ　果実　生　　,445
446,からしな　葉　生　　　,446
447,からしな　塩漬　　 　,447
448,カリフラワー　花序　生　　　,448
449,カリフラワー　花序　ゆで　　　,449
450,かんぴょう　乾　　　,450
451,かんぴょう　ゆで　　　,451
452,きく　花びら　生　　　,452
453,きく　花びら　ゆで　　　,453
454,きく　菊のり　　　,454
455,（キャベツ類）　キャベツ　結球葉　生　　,455
456,（キャベツ類）　キャベツ　結球葉　ゆで　　,456
457,（キャベツ類）　キャベツ　結球葉　油いため　　,457
458,（キャベツ類）　グリーンボール　結球葉　生　　,458
459,（キャベツ類）　レッドキャベツ　結球葉　生　　,459
460,きゅうり　果実　生　　　,460
461,きゅうり　漬物　塩漬　　,461
462,きゅうり　漬物　しょうゆ漬　　,462
463,きゅうり　漬物　ぬかみそ漬　　,463
464,きゅうり　漬物　ピクルス　スイート型　,464
465,きゅうり　漬物　ピクルス　サワー型　,465
466,ぎょうじゃにんにく　葉　生　　　,466
467,キンサイ　茎葉　生　　　,467
468,キンサイ　茎葉　ゆで　　　,468
469,クレソン　茎葉　生　　　,469
470,くわい　塊茎　生　　　,470
471,くわい　塊茎　ゆで　　　,471
472,ケール　葉　生　　　,472
473,コールラビ　球茎　生　　　,473
474,コールラビ　球茎　ゆで　　　,474
475,こごみ　若芽　生　　　,475
476,ごぼう　根　生　　　,476
477,ごぼう　根　ゆで　　　,477
478,こまつな　葉　生　　　,478
479,こまつな　葉　ゆで　　　,479
480,ザーサイ 　漬物　　　,480
481,さんとうさい　葉　生　　　,481
482,さんとうさい　葉　ゆで　　　,482
483,さんとうさい　塩漬　　　,483
484,しかくまめ　若ざや　生　　　,484
485,ししとう　果実　生　　　,485
486,ししとう　果実　油いため　　　,486
487,しそ　葉　生　　　,487
488,しそ　実　生　　　,488
489,じゅうろくささげ　若ざや　生　　　,489
490,じゅうろくささげ　若ざや　ゆで　　　,490
491,しゅんぎく　葉　生　　　,491
492,しゅんぎく　葉　ゆで　　　,492
493,じゅんさい　若葉　水煮びん詰　　　,493
494,（しょうが類）　葉しょうが　根茎　生　　,494
495,（しょうが類）　しょうが　根茎　生　　,495
496,（しょうが類）　しょうが　漬物　酢漬　,496
497,（しょうが類）　しょうが　漬物　甘酢漬　,497
498,しろうり　果実　生　　　,498
499,しろうり　漬物　塩漬　　,499
500,しろうり　漬物　奈良漬　　,500
501,ずいき　生ずいき　生　　　,501
502,ずいき　生ずいき　ゆで　　　,502
503,ずいき　干しずいき　乾　　　,503
504,ずいき　干しずいき　ゆで　　　,504
505,すぐきな　葉　生　　　,505
506,すぐきな　根　生　　　,506
507,すぐきな　すぐき漬　　　,507
508,ズッキーニ　果実　生　　　,508
509,せり　茎葉　生　　　,509
510,せり　茎葉　ゆで　　　,510
511,セロリ　葉柄　生　　　,511
512,ぜんまい　生ぜんまい　若芽　生　　,512
513,ぜんまい　生ぜんまい　若芽　ゆで　　,513
514,ぜんまい　干しぜんまい　干し若芽　乾　　,514
515,ぜんまい　干しぜんまい　干し若芽　ゆで　　,515
516,そらまめ　未熟豆　生　　　,516
517,そらまめ　未熟豆　ゆで　　　,517
518,タアサイ　葉　生　　　,518
519,タアサイ　葉　ゆで　　　,519
520,（だいこん類）　かいわれだいこん　芽ばえ　生　　,520
521,（だいこん類）　葉だいこん　葉　生　　,521
522,（だいこん類）　だいこん　葉　生　　,522
523,（だいこん類）　だいこん　葉　ゆで　　,523
524,（だいこん類）　だいこん　根　皮つき　生　　,524
525,（だいこん類）　だいこん　根　皮つき　ゆで　　,525
526,（だいこん類）　だいこん　根　皮むき　生　　,526
527,（だいこん類）　だいこん　根　皮むき　ゆで　　,527
528,（だいこん類）　切干しだいこん　乾　,528
529,（だいこん類）　切干しだいこん　ゆで　　,529
530,（だいこん類）　切干しだいこん　油いため　　,530
531,（だいこん類）　漬物　ぬかみそ漬　　,531
532,（だいこん類）　漬物　たくあん漬　塩押しだいこん漬　,532
533,（だいこん類）　漬物　たくあん漬　干しだいこん漬　,533
